clast_ID,x,y,Ellipse_major_axis,Ellipse_minor_axis,Clast_length,Clast_width,Surface_area,Score,Orientation
7985.00000,558252.88374,6981582.56254,0.06713,0.03853,0.06593,0.03716,0.00231,0.89840,112.11439
7986.00000,558253.03113,6981581.82444,0.04969,0.04367,0.04884,0.04321,0.00196,0.87960,169.53477
7987.00000,558252.78020,6981581.67543,0.07454,0.05975,0.07545,0.05973,0.00384,0.87863,53.05616
7988.00000,558252.64273,6981582.41092,0.07338,0.03903,0.06775,0.03871,0.00248,0.86356,150.24751
7989.00000,558252.96326,6981582.27597,0.06199,0.04305,0.05936,0.04316,0.00236,0.84056,130.01123
7990.00000,558252.95642,6981582.05680,0.08565,0.04677,0.07990,0.04439,0.00347,0.81483,172.59738
7991.00000,558252.43874,6981582.07604,0.06343,0.05468,0.06339,0.05545,0.00300,0.80363,76.44753
7992.00000,558252.46257,6981582.11974,0.04619,0.04478,0.04619,0.04524,0.00186,0.77620,37.12929
7993.00000,558252.71388,6981582.38102,0.06985,0.06229,0.06943,0.06042,0.00374,0.77230,18.72243
7994.00000,558252.69153,6981581.66920,0.05520,0.03402,0.05218,0.03142,0.00171,0.72510,78.68602
7995.00000,558252.29423,6981582.03678,0.05878,0.05330,0.05606,0.05295,0.00273,0.72116,137.06853
7996.00000,558252.36298,6981581.96403,0.04246,0.03744,0.03754,0.03441,0.00143,0.71837,50.75951
7997.00000,558252.62107,6981582.12636,0.04103,0.03116,0.03757,0.03082,0.00118,0.69913,128.84271
7998.00000,558252.52281,6981582.51972,0.03692,0.03364,0.03282,0.03462,0.00112,0.67483,144.48046
7999.00000,558252.53935,6981582.39662,0.05423,0.04828,0.05621,0.04907,0.00227,0.66481,19.98720
8000.00000,558252.85228,6981581.70005,0.07377,0.04942,0.07125,0.04493,0.00316,0.64989,6.84436
8001.00000,558252.52005,6981582.22879,0.04109,0.03604,0.04041,0.03434,0.00136,0.57209,40.52266
8002.00000,558253.17965,6981581.92838,0.07651,0.05098,0.07633,0.04949,0.00341,0.99726,103.61726
8003.00000,558253.64968,6981581.73383,0.09834,0.06216,0.09477,0.06238,0.00517,0.99337,71.14742
8004.00000,558253.16566,6981582.22366,0.06257,0.04937,0.05877,0.04854,0.00269,0.98477,85.91662
8005.00000,558253.87085,6981582.44430,0.07524,0.04759,0.07047,0.04545,0.00308,0.98243,24.89542
8006.00000,558253.66010,6981582.07333,0.06646,0.06009,0.05986,0.05777,0.00345,0.97546,155.61471
8007.00000,558253.32255,6981582.02844,0.05565,0.03626,0.05330,0.03553,0.00184,0.94439,7.65705
8008.00000,558253.96754,6981582.50974,0.06322,0.04297,0.06315,0.04177,0.00242,0.93084,73.90996
8009.00000,558253.44937,6981582.10137,0.12228,0.07382,0.11555,0.07139,0.00752,0.90871,9.40450
